shape_id,shape_pt_sequence,shape_pt_lat,shape_pt_lon,shape_dist_traveled
1-SHUTTLE-A-NB,13447,47.54259,-122.28374,12341.59
1-SHUTTLE-A-NB,13448,47.5428,-122.28385,12366.36
1-SHUTTLE-A-NB,13449,47.54287,-122.28389,12374.7
1-SHUTTLE-A-NB,13450,47.543,-122.28395,12389.84
1-SHUTTLE-A-NB,13451,47.54319,-122.28405,12412.26
1-SHUTTLE-A-NB,13452,47.54354,-122.28422,12453.22
1-SHUTTLE-A-NB,13453,47.5439,-122.2844,12495.47
1-SHUTTLE-A-NB,13454,47.54411,-122.28451,12520.23
1-SHUTTLE-A-NB,13455,47.54445,-122.28468,12560.13
1-SHUTTLE-A-NB,13456,47.54463,-122.28477,12581.26
1-SHUTTLE-A-NB,13457,47.54503,-122.28495,12627.74
1-SHUTTLE-A-NB,13458,47.54532,-122.28508,12661.43
1-SHUTTLE-A-NB,13459,47.54551,-122.28518,12683.85
1-SHUTTLE-A-NB,13460,47.5459,-122.28537,12729.51
1-SHUTTLE-A-NB,13461,47.54601,-122.28543,12742.54
1-SHUTTLE-A-NB,13462,47.54608,-122.28547,12750.88
1-SHUTTLE-A-NB,13463,47.54616,-122.28551,12760.27
1-SHUTTLE-A-NB,13464,47.54621,-122.28553,12766.03
1-SHUTTLE-A-NB,13465,47.54634,-122.28559,12781.17
1-SHUTTLE-A-NB,13466,47.54641,-122.28563,12789.51
1-SHUTTLE-A-NB,13467,47.54674,-122.28579,12828.12
1-SHUTTLE-A-NB,13468,47.54707,-122.28595,12866.73
1-SHUTTLE-A-NB,13469,47.54738,-122.28611,12903.23
1-SHUTTLE-A-NB,13470,47.5481,-122.28646,12987.49
1-SHUTTLE-A-NB,13471,47.5482,-122.2865,12999.01
1-SHUTTLE-A-NB,13472,47.54842,-122.28661,13024.83
1-SHUTTLE-A-NB,13473,47.54897,-122.28685,13088.58
1-SHUTTLE-A-NB,13474,47.54976,-122.28723,13180.94
1-SHUTTLE-A-NB,13475,47.55027,-122.28747,13240.44
1-SHUTTLE-A-NB,13476,47.55065,-122.28766,13285.04
1-SHUTTLE-A-NB,13477,47.5507,-122.28768,13290.8
1-SHUTTLE-A-NB,13478,47.55108,-122.28787,13335.39
1-SHUTTLE-A-NB,13479,47.5511,-122.28788,13337.74
1-SHUTTLE-A-NB,13480,47.55124,-122.28795,13354.17
1-SHUTTLE-A-NB,13481,47.55134,-122.288,13365.91
1-SHUTTLE-A-NB,13482,47.55141,-122.28802,13373.83
1-SHUTTLE-A-NB,13483,47.55156,-122.2881,13391.56
1-SHUTTLE-A-NB,13484,47.55177,-122.28821,13416.33
1-SHUTTLE-A-NB,13485,47.55198,-122.28831,13440.85
1-SHUTTLE-A-NB,13486,47.55271,-122.28867,13526.4
1-SHUTTLE-A-NB,13487,47.55299,-122.28881,13559.26
1-SHUTTLE-A-NB,13488,47.55331,-122.28897,13596.82
1-SHUTTLE-A-NB,13489,47.55345,-122.28904,13613.25
1-SHUTTLE-A-NB,13490,47.55355,-122.28908,13624.76
1-SHUTTLE-A-NB,13491,47.55425,-122.2894,13706.22
1-SHUTTLE-A-NB,13492,47.55459,-122.28956,13745.89
1-SHUTTLE-A-NB,13493,47.55476,-122.28964,13765.72
1-SHUTTLE-A-NB,13494,47.55501,-122.28975,13794.72
1-SHUTTLE-A-NB,13495,47.55508,-122.28978,13802.82
1-SHUTTLE-A-NB,13496,47.5552,-122.28983,13816.68
1-SHUTTLE-A-NB,13497,47.55532,-122.28989,13830.77
1-SHUTTLE-A-NB,13498,47.55535,-122.28991,13834.42
1-SHUTTLE-A-NB,13499,47.55571,-122.29008,13876.44
1-SHUTTLE-A-NB,13500,47.55595,-122.29021,13904.85
1-SHUTTLE-A-NB,13501,47.55691,-122.29079,14020.13
1-SHUTTLE-A-NB,13502,47.55705,-122.29088,14037.1
1-SHUTTLE-A-NB,13503,47.55727,-122.29101,14063.44
1-SHUTTLE-A-NB,13504,47.55787,-122.29136,14135.14
1-SHUTTLE-A-NB,13505,47.55818,-122.29155,14172.44
1-SHUTTLE-A-NB,13506,47.55826,-122.2916,14182.09
1-SHUTTLE-A-NB,13507,47.55855,-122.29178,14217.06
1-SHUTTLE-A-NB,13508,47.55867,-122.29185,14231.4
1-SHUTTLE-A-NB,13509,47.5588,-122.29193,14247.05
1-SHUTTLE-A-NB,13510,47.55932,-122.29224,14309.37
1-SHUTTLE-A-NB,13511,47.5599,-122.29261,14379.59
1-SHUTTLE-A-NB,13512,47.56027,-122.29285,14424.5
1-SHUTTLE-A-NB,13513,47.56068,-122.29311,14474.09
1-SHUTTLE-A-NB,13514,47.56082,-122.2932,14491.06
1-SHUTTLE-A-NB,13515,47.56095,-122.29328,14506.71
1-SHUTTLE-A-NB,13516,47.56124,-122.29347,14541.97
1-SHUTTLE-A-NB,13517,47.56133,-122.29353,14552.94
1-SHUTTLE-A-NB,13518,47.56193,-122.29392,14625.79
1-SHUTTLE-A-NB,13519,47.56275,-122.29445,14725.27
1-SHUTTLE-A-NB,13520,47.56277,-122.29446,14727.61
1-SHUTTLE-A-NB,13521,47.56283,-122.2945,14734.93
1-SHUTTLE-A-NB,13522,47.56293,-122.29457,14747.23
1-SHUTTLE-A-NB,13523,47.56299,-122.29461,14754.54
1-SHUTTLE-A-NB,13524,47.56323,-122.29478,14784.12
1-SHUTTLE-A-NB,13525,47.56377,-122.29515,14850.27
1-SHUTTLE-A-NB,13526,47.56386,-122.2952,14860.96
1-SHUTTLE-A-NB,13527,47.56451,-122.29561,14939.51
1-SHUTTLE-A-NB,13528,47.5652,-122.29606,15023.34
1-SHUTTLE-A-NB,13529,47.56563,-122.29632,15074.98
1-SHUTTLE-A-NB,13530,47.56584,-122.29646,15100.58
1-SHUTTLE-A-NB,13531,47.56596,-122.29653,15114.92
1-SHUTTLE-A-NB,13532,47.56607,-122.29659,15127.96
1-SHUTTLE-A-NB,13533,47.56617,-122.29663,15139.47
1-SHUTTLE-A-NB,13534,47.56629,-122.29669,15153.56
1-SHUTTLE-A-NB,13535,47.56639,-122.29672,15164.9
1-SHUTTLE-A-NB,13536,47.56657,-122.29678,15185.42
1-SHUTTLE-A-NB,13537,47.56663,-122.29679,15192.13
1-SHUTTLE-A-NB,13538,47.56667,-122.2968,15196.64
1-SHUTTLE-A-NB,13539,47.5667,-122.29681,15200.06
1-SHUTTLE-A-NB,13540,47.5668,-122.29683,15211.28
1-SHUTTLE-A-NB,13541,47.56691,-122.29684,15223.53
1-SHUTTLE-A-NB,13542,47.56703,-122.29685,15236.9
1-SHUTTLE-A-NB,13543,47.56716,-122.29685,15251.35
1-SHUTTLE-A-NB,13544,47.56761,-122.29683,15301.41
1-SHUTTLE-A-NB,13545,47.5679,-122.29681,15333.7
1-SHUTTLE-A-NB,13546,47.56802,-122.2968,15347.06
1-SHUTTLE-A-NB,13547,47.56811,-122.2968,15357.07
1-SHUTTLE-A-NB,13548,47.56822,-122.29679,15369.32
1-SHUTTLE-A-NB,13549,47.56837,-122.29678,15386.02
1-SHUTTLE-A-NB,13550,47.56857,-122.29678,15408.26
1-SHUTTLE-A-NB,13551,47.56955,-122.29679,15517.23
1-SHUTTLE-A-NB,13552,47.57036,-122.29679,15607.3
1-SHUTTLE-A-NB,13553,47.57054,-122.29679,15627.31
1-SHUTTLE-A-NB,13554,47.57121,-122.29675,15701.87
1-SHUTTLE-A-NB,13555,47.57139,-122.29674,15721.9
1-SHUTTLE-A-NB,13556,47.57187,-122.29674,15775.28
1-SHUTTLE-A-NB,13557,47.57199,-122.29673,15788.64
